file,entity1,entity2,weighting
conference-confOf,Conference_participant,Participant,1.0
conference-confOf,has_an_email,hasEmail,1.0
conference-confOf,Poster,Poster,1.0
conference-confOf,Organization,Organization,1.0
conference-confOf,Topic,Topic,1.0
conference-confOf,Workshop,Workshop,1.0
conference-confOf,Paper,Paper,1.0
conference-confOf,Person,Person,1.0
conference-confOf,Conference_contribution,Contribution,1.0
conference-confOf,Tutorial,Tutorial,1.0
conference-confOf,Conference_volume,Conference,1.0
conference-confOf,has_a_track-workshop-tutorial_topic,hasTopic,1.0
conference-confOf,Regular_author,Author,1.0
conference-confOf,has_the_last_name,hasSurname,1.0
conference-confOf,has_the_first_name,hasFirstName,1.0
cmt-confOf,ProgramCommitteeChair,Chair_PC,1.0
cmt-confOf,writePaper,writes,1.0
cmt-confOf,Author,Author,1.0
cmt-confOf,ConferenceMember,Member,1.0
cmt-confOf,Administrator,Administrator,1.0
cmt-confOf,title,hasTitle,1.0
cmt-confOf,SubjectArea,Topic,1.0
cmt-confOf,PaperFullVersion,Paper,1.0
cmt-confOf,hasBeenAssigned,reviewes,1.0
cmt-confOf,hasAuthor,writtenBy,1.0
cmt-confOf,Conference,Conference,1.0
cmt-confOf,ProgramCommitteeMember,Member_PC,1.0
cmt-confOf,hasSubjectArea,dealsWith,1.0
cmt-confOf,Person,Person,1.0
cmt-confOf,Paper,Contribution,1.0
cmt-confOf,email,hasEmail,1.0
conference-ekaw,Information_for_participants,Programme_Brochure,1.0
conference-ekaw,Person,Person,1.0
conference-ekaw,Tutorial,Tutorial,1.0
conference-ekaw,Review,Review,1.0
conference-ekaw,has_a_review,hasReview,1.0
conference-ekaw,Workshop,Workshop,1.0
conference-ekaw,Late_paid_applicant,Late-Registered_Participant,1.0
conference-ekaw,Early_paid_applicant,Early-Registered_Participant,1.0
conference-ekaw,Organization,Organisation,1.0
conference-ekaw,Track-workshop_chair,Workshop_Chair,1.0
conference-ekaw,Abstract,Abstract,1.0
conference-ekaw,Conference_proceedings,Conference_Proceedings,1.0
conference-ekaw,Conference_volume,Conference,1.0
conference-ekaw,Rejected_contribution,Rejected_Paper,1.0
conference-ekaw,Poster,Poster_Paper,1.0
conference-ekaw,Track,Track,1.0
conference-ekaw,Topic,Research_Topic,1.0
conference-ekaw,Conference_www,Web_Site,1.0
conference-ekaw,Invited_speaker,Invited_Speaker,1.0
conference-ekaw,contributes,authorOf,1.0
conference-ekaw,Accepted_contribution,Accepted_Paper,1.0
conference-ekaw,Conference_document,Document,1.0
conference-ekaw,Reviewed_contribution,Evaluated_Paper,1.0
conference-ekaw,Submitted_contribution,Submitted_Paper,1.0
conference-ekaw,Regular_author,Paper_Author,1.0
cmt-ekaw,Document,Document,1.0
cmt-ekaw,ConferenceMember,Conference_Participant,1.0
cmt-ekaw,Author,Paper_Author,1.0
cmt-ekaw,writtenBy,reviewWrittenBy,1.0
cmt-ekaw,hasBeenAssigned,reviewerOfPaper,1.0
cmt-ekaw,Person,Person,1.0
cmt-ekaw,Conference,Conference,1.0
cmt-ekaw,assignedTo,hasReviewer,1.0
cmt-ekaw,Review,Review,1.0
cmt-ekaw,Paper,Paper,1.0
cmt-ekaw,PaperFullVersion,Regular_Paper,1.0
confOf-ekaw,Tutorial,Tutorial,1.0
confOf-ekaw,Poster,Poster_Paper,1.0
confOf-ekaw,Social_event,Social_Event,1.0
confOf-ekaw,Person,Person,1.0
confOf-ekaw,Working_event,Scientific_Event,1.0
confOf-ekaw,Conference,Conference,1.0
confOf-ekaw,Author,Paper_Author,1.0
confOf-ekaw,Banquet,Conference_Banquet,1.0
confOf-ekaw,Workshop,Workshop,1.0
confOf-ekaw,Topic,Research_Topic,1.0
confOf-ekaw,Contribution,Paper,1.0
confOf-ekaw,Participant,Conference_Participant,1.0
confOf-ekaw,Chair_PC,PC_Chair,1.0
confOf-ekaw,Organization,Organisation,1.0
confOf-ekaw,Student,Student,1.0
confOf-ekaw,University,University,1.0
confOf-ekaw,Trip,Conference_Trip,1.0
confOf-ekaw,Member_PC,PC_Member,1.0
confOf-ekaw,Scholar,Student,1.0
confOf-ekaw,Event,Event,1.0
iasted-sigkdd,Place,Place,1.0
iasted-sigkdd,Review,Review,1.0
iasted-sigkdd,Student_registration_fee,Registration_Student,1.0
iasted-sigkdd,Fee,Fee,1.0
iasted-sigkdd,Registration_fee,Registration_fee,1.0
iasted-sigkdd,Sponsor,Sponzor,1.0
iasted-sigkdd,Deadline_for_notification_of_acceptance,Deadline_Author_notification,1.0
iasted-sigkdd,Nonmember_registration_fee,Registration_Non-Member,1.0
iasted-sigkdd,Author,Author,1.0
iasted-sigkdd,Listener,Listener,1.0
iasted-sigkdd,Main_office,Main_office,1.0
iasted-sigkdd,Conference_hall,Conference_hall,1.0
iasted-sigkdd,Person,Person,1.0
iasted-sigkdd,Deadline,Deadline,1.0
iasted-sigkdd,Speaker,Speaker,1.0
cmt-iasted,Author,Author,1.0
cmt-iasted,Review,Review,1.0
cmt-iasted,Person,Person,1.0
cmt-iasted,Reviewer,Reviewer,1.0
edas-iasted,Place,Place,1.0
edas-iasted,SessionChair,Session_chair,1.0
edas-iasted,Author,Author,1.0
edas-iasted,Document,Document,1.0
edas-iasted,Country,State,1.0
edas-iasted,WelcomeTalk,Welcome_address,1.0
edas-iasted,Sponsorship,Sponzorship,1.0
edas-iasted,Reviewer,Reviewer,1.0
edas-iasted,Attendee,Delegate,1.0
edas-iasted,ConferenceDinner,Dinner_banquet,1.0
edas-iasted,SocialEvent,Social_program,1.0
edas-iasted,CoffeeBreak,Coffee_break,1.0
edas-iasted,Review,Review,1.0
edas-iasted,Reception,Coctail_reception,1.0
edas-iasted,ConferenceEvent,Conference_activity,1.0
edas-iasted,SlideSet,Transparency,1.0
edas-iasted,Paper,Submission,1.0
edas-iasted,ConferenceVenuePlace,Conference_building,1.0
edas-iasted,DiningPlace,Conference_restaurant,1.0
ekaw-iasted,Location,Place,1.0
ekaw-iasted,Document,Document,1.0
ekaw-iasted,Event,Activity,1.0
ekaw-iasted,Person,Person,1.0
ekaw-iasted,Paper_Author,Author,1.0
ekaw-iasted,Session,Session,1.0
ekaw-iasted,Review,Review,1.0
ekaw-iasted,Conference_Banquet,Dinner_banquet,1.0
ekaw-iasted,Tutorial,Tutorial,1.0
ekaw-iasted,Session_Chair,Session_chair,1.0
conference-iasted,Passive_conference_participant,Listener,1.0
conference-iasted,Active_conference_participant,Speaker,1.0
conference-iasted,Reviewer,Reviewer,1.0
conference-iasted,Person,Person,1.0
conference-iasted,Regular_author,Author,1.0
conference-iasted,Conference_fees,Fee,1.0
conference-iasted,Tutorial,Tutorial,1.0
conference-iasted,contributes,write,1.0
conference-iasted,Review,Review,1.0
conference-iasted,Conference_document,Document,1.0
conference-iasted,Conference_part,Conference_activity,1.0
conference-iasted,Submitted_contribution,Submission,1.0
conference-iasted,Camera_ready_contribution,Final_manuscript,1.0
conference-iasted,Conference_proceedings,Publication,1.0
confOf-sigkdd,Person,Person,1.0
confOf-sigkdd,Member_PC,Program_Committee_member,1.0
confOf-sigkdd,hasEmail,E-mail,1.0
confOf-sigkdd,Author,Author,1.0
confOf-sigkdd,Conference,Conference,1.0
confOf-sigkdd,Chair_PC,Program_Chair,1.0
confOf-sigkdd,Paper,Paper,1.0
