edas-ComputerNetworksTopic,ComputerNetworksTopic is a SubClassOf Topic and is a SuperClassOf ComputerNetworksSensorTopic and is a SuperClassOf ComputerNetworksEnterpriseTopic and is a SuperClassOf ComputerNetworksMeasurementsTopic and is a SuperClassOf ComputerNetworksOpticalTopic and is a SuperClassOf ComputerNetworksManagementTopic and is a SuperClassOf ComputerNetworksSwitchingTopic and is a SuperClassOf ComputerNetworksAapplicationsTopic and is a SuperClassOf ComputerNetworksSecurityTopic
edas-Conference,Conference is a SubClassOf at most 1 of endDate and is a SubClassOf exactly 1 of hasCountry and is a SubClassOf at most 1 of manuscriptDueOn and is a SubClassOf at most 1 of startDate and is a SubClassOf at most 1 of paperDueOn and is a SubClassOf at most 1 of registrationDueOn and is a SubClassOf Thing and is a SubClassOf exactly 1 of hasTopic and is a SubClassOf exactly 1 of hasName and hasCountry Country and hasMember Person
edas-ConferenceChair,ConferenceChair is a SubClassOf Person
edas-ConferenceDinner,ConferenceDinner is a SubClassOf MealEvent
edas-ConferenceEvent,ConferenceEvent is a SuperClassOf NonAcademicEvent and is a SuperClassOf AcademicEvent and hasAttendee Person and hasLocation Place and hasProgramme Programme
edas-ConferenceSession,ConferenceSession
edas-ConferenceVenuePlace,ConferenceVenuePlace is a SubClassOf Place
edas-ContactInformation,ContactInformation
edas-Country,Country
edas-CryptographyTopic,CryptographyTopic is a SubClassOf Topic
edas-DiningPlace,DiningPlace is a SubClassOf Place
edas-Document,Document is a SuperClassOf SlideSet and is a SuperClassOf Review and is a SuperClassOf Paper and is a SuperClassOf MealMenu and is a SuperClassOf Programme and relatesTo AcademicEvent or Conference or ConferenceSession or Person
edas-Excursion,Excursion is a SubClassOf SocialEvent
edas-FreeTimeBreak,FreeTimeBreak is a SubClassOf BreakEvent
edas-GovernmentOrganization,GovernmentOrganization is a SubClassOf Organization
edas-IndustryOrganization,IndustryOrganization is a SubClassOf Organization
edas-MealBreak,MealBreak is a SubClassOf BreakEvent
edas-MealEvent,MealEvent is a SubClassOf NonAcademicEvent and is a SuperClassOf ConferenceDinner and hasMenu MealMenu
edas-MealMenu,MealMenu is a SubClassOf Document and isMenuOf MealEvent
edas-MedicineTopic,MedicineTopic is a SubClassOf Topic
edas-MeetingRoomPlace,MeetingRoomPlace is a SubClassOf Place
edas-MicroelectronicsTopic,MicroelectronicsTopic is a SubClassOf Topic
edas-MobileComputingTopic,MobileComputingTopic is a SubClassOf Topic
edas-MultimediaTopic,MultimediaTopic is a SubClassOf Topic
edas-NGO,NGO is a SubClassOf Organization
edas-NonAcademicEvent,NonAcademicEvent is a SubClassOf ConferenceEvent and is a SuperClassOf BreakEvent and is a SuperClassOf MealEvent and is a SuperClassOf SocialEvent
edas-NumericalReviewQuestion,NumericalReviewQuestion is a SubClassOf ReviewQuestion
edas-OperatingTopicsystems,OperatingTopicsystems is a SubClassOf Topic
edas-Organization,Organization is a SuperClassOf IndustryOrganization and is a SuperClassOf NGO and is a SuperClassOf GovernmentOrganization and is a SuperClassOf AcademiaOrganization and isProviderOf Sponsorship
edas-OrganizationalMeeting,OrganizationalMeeting is a SubClassOf AcademicEvent
edas-Paper,Paper is a SubClassOf Document and is a SuperClassOf ActivePaper and is a SuperClassOf AcceptedPaper and is a SuperClassOf RejectedPaper and is a SuperClassOf WithdrawnPaper and is a SuperClassOf PendingPaper and is a SuperClassOf PublishedPaper and isReviewedBy ConferenceChair or Reviewer or SessionChair or TPCMember and isWrittenBy Author
edas-PaperPresentation,PaperPresentation is a SubClassOf AcademicEvent and relatedToPaper AcceptedPaper
edas-ParallelAndDistributedComputingTopic,ParallelAndDistributedComputingTopic is a SubClassOf Topic
edas-PendingPaper,PendingPaper is a SubClassOf Paper
edas-PerformanceTopic,PerformanceTopic is a SubClassOf Topic
edas-Person,Person is a SuperClassOf ConferenceChair and is a SuperClassOf Attendee and is a SuperClassOf SessionChair and is a SuperClassOf TPCMember and attendeeAt ConferenceEvent and isMemberOf Conference
edas-PersonalHistory,PersonalHistory is a SuperClassOf PersonalReviewHistory and is a SuperClassOf PersonalPublicationHistory
edas-PersonalPublicationHistory,PersonalPublicationHistory is a SubClassOf PersonalHistory
edas-PersonalReviewHistory,PersonalReviewHistory is a SubClassOf PersonalHistory and isReviewHistoryOf Reviewer
edas-Place,Place is a SuperClassOf MeetingRoomPlace and is a SuperClassOf DiningPlace and is a SuperClassOf AccommodationPlace and is a SuperClassOf ConferenceVenuePlace and isLocationOf ConferenceEvent
edas-PowerlineTransmissionTopic,PowerlineTransmissionTopic is a SubClassOf Topic
edas-Presenter,Presenter is a SubClassOf Author
edas-Programme,Programme is a SubClassOf Document and belongsToEvent ConferenceEvent
edas-PublishedPaper,PublishedPaper is a SubClassOf Paper
edas-RadioCommunicationsTopic,RadioCommunicationsTopic is a SubClassOf Topic
edas-RatedPapers,RatedPapers is a SubClassOf ActivePaper
edas-Reception,Reception is a SubClassOf SocialEvent
edas-RejectRating,RejectRating is a SubClassOf ReviewRating
edas-RejectedPaper,RejectedPaper is a SubClassOf Paper
edas-Review,Review is a SubClassOf Document
edas-ReviewForm,ReviewForm
edas-ReviewQuestion,ReviewQuestion is a SuperClassOf NumericalReviewQuestion and is a SuperClassOf TextualReviewQuestion
edas-ReviewRating,ReviewRating is a SuperClassOf AccpetIfRoomRating and is a SuperClassOf WeekRejectRating and is a SuperClassOf AcceptRating and is a SuperClassOf RejectRating
edas-Reviewer,Reviewer hasReviewHistory PersonalReviewHistory
edas-SatelliteAndSpaceCommunicationsTopic,SatelliteAndSpaceCommunicationsTopic is a SubClassOf Topic
edas-SecurityTopic,SecurityTopic is a SubClassOf Topic
edas-SessionChair,SessionChair is a SubClassOf Person
edas-SignalProcessingTopic,SignalProcessingTopic is a SubClassOf Topic
edas-SingleLevelConference,SingleLevelConference
edas-SlideSet,SlideSet is a SubClassOf Document
edas-SocialEvent,SocialEvent is a SubClassOf NonAcademicEvent and is a SuperClassOf Excursion and is a SuperClassOf Reception
edas-Sponsorship,Sponsorship is a SuperClassOf TravelGrant and providedBy Organization
edas-TPCMember,TPCMember is a SubClassOf Person
edas-TalkEvent,TalkEvent is a SubClassOf AcademicEvent and is a SuperClassOf ClosingTalk and is a SuperClassOf WelcomeTalk
edas-TestOnlyTopic,TestOnlyTopic is a SubClassOf Topic
edas-TextualReviewQuestion,TextualReviewQuestion is a SubClassOf ReviewQuestion
edas-Topic,Topic is a SuperClassOf ParallelAndDistributedComputingTopic and is a SuperClassOf MicroelectronicsTopic and is a SuperClassOf PerformanceTopic and is a SuperClassOf MobileComputingTopic and is a SuperClassOf PowerlineTransmissionTopic and is a SuperClassOf ComputerArchitectureTopic and is a SuperClassOf MedicineTopic and is a SuperClassOf CommunicationsTopic and is a SuperClassOf AntennasTopic and is a SuperClassOf MultimediaTopic and is a SuperClassOf OperatingTopicsystems and is a SuperClassOf SatelliteAndSpaceCommunicationsTopic and is a SuperClassOf SecurityTopic and is a SuperClassOf RadioCommunicationsTopic and is a SuperClassOf TestOnlyTopic and is a SuperClassOf ComputerNetworksTopic and is a SuperClassOf CryptographyTopic and is a SuperClassOf SignalProcessingTopic and is a SuperClassOf CADTopic and is a SuperClassOf CommunicationTheoryTopic and is a SuperClassOf WirelessCommunicationsTopic and isTopicOf Conference or Paper
edas-TravelGrant,TravelGrant is a SubClassOf Sponsorship
edas-TwoLevelConference,TwoLevelConference
edas-WeekRejectRating,WeekRejectRating is a SubClassOf ReviewRating
edas-WelcomeTalk,WelcomeTalk is a SubClassOf TalkEvent
edas-WirelessCommunicationsTopic,WirelessCommunicationsTopic is a SubClassOf Topic
edas-WithdrawnPaper,WithdrawnPaper is a SubClassOf Paper
edas-Workshop,Workshop is a SubClassOf AcademicEvent
edas-Thing,Thing is a SuperClassOf Conference
Conference-Abstract,Abstract is a SubClassOf Extended abstract and is the 1th part of Paper or Poster or Presentation
Conference-Accepted_contribution,Accepted contribution is a SubClassOf Reviewed contribution and is a SuperClassOf Camera ready contribution
Conference-Active_conference_participant,Active conference participant is a SubClassOf Conference participant and is a SubClassOf Conference contributor and is a SubClassOf Invited speaker or Regular author and gives presentations Presentation
Conference-Call_for_paper,Call for paper is a SubClassOf Conference document
Conference-Call_for_participation,Call for participation is a SubClassOf Conference document
Conference-Camera_ready_contribution,Camera ready contribution is a SubClassOf Accepted contribution
Conference-Chair,Chair is a SubClassOf Committee member and was a committee chair of Committee
Conference-Co-chair,Co-chair is a SubClassOf Committee member and was a committe co-chair of Committee
Conference-Committee,Committee is a SuperClassOf Program committee and is a SuperClassOf Steering committee and is a SuperClassOf Organizing committee and has a committee chair Chair and has a committee co-chair Co-chair and has members Committee member and was a committee of Conference volume
Conference-Committee_member,Committee member is a SubClassOf Person and is a SuperClassOf Chair and is a SuperClassOf Co-chair and was a member of Committee
Conference-Conference,Conference is a SuperClassOf Conference volume
Conference-Conference_announcement,Conference announcement is a SubClassOf Conference document
Conference-Conference_applicant,Conference applicant is a SubClassOf Person and is a SuperClassOf Registeered applicant
Conference-Conference_contribution,Conference contribution is a SubClassOf Conference document and is a SuperClassOf Presentation and is a SuperClassOf Poster and is a SuperClassOf Written contribution and is submitted at Conference volume
Conference-Conference_contributor,Conference contributor is a SubClassOf Person and is a SuperClassOf Regular author and is a SuperClassOf Invited speaker and is a SuperClassOf Active conference participant
Conference-Conference_document,Conference document is a SuperClassOf Conference contribution and is a SuperClassOf Conference www and is a SuperClassOf Conference announcement and is a SuperClassOf Information for participants and is a SuperClassOf Call for paper and is a SuperClassOf Review and is a SuperClassOf Call for participation and has authors Person
Conference-Conference_fees,Conference fees
Conference-Conference_part,Conference part is a SuperClassOf Track and is a SuperClassOf Tutorial and is a SuperClassOf Workshop and has a track-workshop-tutorial chair Track-workshop chair and has a track-workshop-tutorial topic Topic and is part of conference volumes Conference volume
Conference-Conference_participant,Conference participant is a SubClassOf Person and is a SuperClassOf Passive conference participant and is a SuperClassOf Active conference participant
Conference-Conference_proceedings,Conference proceedings has a publisher Publisher
Conference-Conference_volume,Conference volume is a SubClassOf Conference and has a commtitee Committee and has a program committee Program committee and has a steering committee Steering committee and has an organizing committee Organizing committee and has contributions Conference contribution and has important dates Important dates and has parts Conference part and has tracks Track and has tutorials Tutorial and has workshops Workshop
Conference-Conference_www,Conference www is a SubClassOf Conference document
Conference-Contribution_1th-author,Contribution 1th-author is a SubClassOf Regular author
Conference-Contribution_co-author,Contribution co-author is a SubClassOf Regular author
Conference-Early_paid_applicant,Early paid applicant is a SubClassOf Paid applicant
Conference-Extended_abstract,Extended abstract is a SubClassOf Regular contribution and is a SuperClassOf Abstract
Conference-Important_dates,Important dates belong to a conference volume Conference volume
Conference-Information_for_participants,Information for participants is a SubClassOf Conference document
Conference-Invited_speaker,Invited speaker is a SubClassOf Conference contributor
Conference-Invited_talk,Invited talk is a SubClassOf Presentation
Conference-Late_paid_applicant,Late paid applicant is a SubClassOf Paid applicant
Conference-Organization,Organization
Conference-Organizer,Organizer is a SubClassOf Committee member or Organization and is a SubClassOf Thing
Conference-Organizing_committee,Organizing committee is a SubClassOf Committee and was an organizing committee of Conference volume
Conference-Paid_applicant,Paid applicant is a SubClassOf Registeered applicant and is a SuperClassOf Early paid applicant and is a SuperClassOf Late paid applicant
Conference-Paper,Paper is a SubClassOf Regular contribution
Conference-Passive_conference_participant,Passive conference participant is a SubClassOf Conference participant
Conference-Person,Person is a SuperClassOf Conference participant and is a SuperClassOf Reviewer and is a SuperClassOf Committee member and is a SuperClassOf Conference applicant and is a SuperClassOf Conference contributor and is a SuperClassOf Track-workshop chair and contributes Conference document
Conference-Poster,Poster is a SubClassOf Conference contribution
Conference-Presentation,Presentation is a SubClassOf Conference contribution and is a SuperClassOf Invited talk and is given by Active conference participant
Conference-Program_committee,Program committee is a SubClassOf Committee and was a program committee of Conference volume
Conference-Publisher,Publisher issues Conference proceedings
Conference-Registeered_applicant,Registeered applicant is a SubClassOf Conference applicant and is a SuperClassOf Paid applicant
Conference-Regular_author,Regular author is a SubClassOf Conference contributor and is a SuperClassOf Contribution co-author and is a SuperClassOf Contribution 1th-author
Conference-Regular_contribution,Regular contribution is a SubClassOf Written contribution and is a SuperClassOf Extended abstract and is a SuperClassOf Paper
Conference-Rejected_contribution,Rejected contribution is a SubClassOf Reviewed contribution
Conference-Review,Review is a SubClassOf only has authors Reviewer and is a SubClassOf Conference document and reviews Reviewed contribution
Conference-Review_expertise,Review expertise is a SubClassOf Thing and is a SubClassOf some has a submitted contribution Submitted contribution and is a SubClassOf some belongs to reviewers Reviewer and has a submitted contribution Submitted contribution
Conference-Review_preference,Review preference is a SubClassOf some has a topic or a submission contribution Submitted contribution or Topic and is a SubClassOf Thing and is a SubClassOf some belongs to reviewers Reviewer and has a topic or a submission contribution Submitted contribution or Topic
Conference-Reviewed_contribution,Reviewed contribution is a SubClassOf Submitted contribution and is a SuperClassOf Accepted contribution and is a SuperClassOf Rejected contribution and has a review Review
Conference-Reviewer,Reviewer is a SubClassOf Person and has a review reference or expertise Review expertise or Review preference and invited by Reviewer and invites co-reviewers Reviewer
Conference-Steering_committee,Steering committee is a SubClassOf Committee and was a steering committee of Conference volume
Conference-Submitted_contribution,Submitted contribution is a SubClassOf Poster or Regular contribution and is a SubClassOf Written contribution and is a SuperClassOf Reviewed contribution and has a review expertise Review expertise
Conference-Topic,Topic belongs to a review reference Review preference and is a topis of conference parts Conference part
Conference-Track,Track is a SubClassOf Conference part
Conference-Track-workshop_chair,Track-workshop chair is a SubClassOf Person and was a track-workshop chair of Conference part
Conference-Tutorial,Tutorial is a SubClassOf Conference part
Conference-Workshop,Workshop is a SubClassOf Conference part
Conference-Written_contribution,Written contribution is a SubClassOf Poster or Regular contribution and is a SubClassOf Conference contribution and is a SuperClassOf Regular contribution and is a SuperClassOf Submitted contribution
Conference-Thing,Thing is a SuperClassOf Review expertise and is a SuperClassOf Review preference and is a SuperClassOf Organizer
MyReview-AcceptedPaper,AcceptedPaper is a SubClassOf has value Accept for hasStatus and is a SubClassOf Paper and is a SubClassOf some isAcceptedBy Chair and is a SubClassOf some isRatedBy Review and isAssignedToSession Session
MyReview-Administrator,Administrator is a SubClassOf ProgramCommitteeMember and assigns Criterion or PaperStatus or Question or ResearchTopic
MyReview-Author,Author is a SubClassOf Person and is a SuperClassOf ContactAuthor and submitsPaper Paper and writePaper Paper
MyReview-BookletOfAbstracts,BookletOfAbstracts is a SubClassOf OutputDocument
MyReview-CD-ROM,CD-ROM is a SubClassOf OutputDocument
MyReview-Chair,Chair is a SubClassOf ProgramCommitteeMember and accepts Paper and asksForPreference Reviewer and isChairOf Session and produces OutputDocument and rejects Paper and sets Fee or PaymentMode
MyReview-Conference,Conference is a SubClassOf exactly 1 of hasName and is a SubClassOf exactly 1 of hasEmail and is a SubClassOf exactly 1 of hasAcronym and is a SubClassOf Thing
MyReview-ConferenceAttendant,ConferenceAttendant is a SubClassOf some mustPay Fee and is a SubClassOf has value true for paid and is a SubClassOf exactly 1 of hasPhone and is a SubClassOf Person and is a SubClassOf exactly 1 of hasAdress and mustPay Fee
MyReview-ConferenceProgram,ConferenceProgram is a SubClassOf exactly 1 of isProgramOf and is a SubClassOf Thing and consistsOf Slot and isProgramOf Conference
MyReview-ContactAuthor,ContactAuthor is a SubClassOf Author and is a SubClassOf exactly 1 of hasEmail and submitsAbstract PaperAbstract
MyReview-Criterion,Criterion is a SubClassOf Thing and is a SubClassOf exactly 1 of hasWeight
MyReview-Document,Document is a SuperClassOf PaperAbstract and is a SuperClassOf Review and is a SuperClassOf Paper and is a SuperClassOf Evaluation
MyReview-Evaluation,Evaluation is a SubClassOf Document and isContainedIn Review
MyReview-ExternalReviewer,ExternalReviewer is a SubClassOf some cooperatesReviewer Reviewer and is a SubClassOf Person and cooperatesReviewer Reviewer
MyReview-ExternalReviewersList,ExternalReviewersList is a SubClassOf OutputDocument
MyReview-Fee,Fee
MyReview-IndexOfAuthors,IndexOfAuthors is a SubClassOf OutputDocument
MyReview-ListOfAbstracts,ListOfAbstracts is a SubClassOf OutputDocument
MyReview-OutputDocument,OutputDocument is a SubClassOf Thing and is a SubClassOf some isProducedBy Chair and is a SuperClassOf PCMembersList and is a SuperClassOf CD-ROM and is a SuperClassOf ExternalReviewersList and is a SuperClassOf Program and is a SuperClassOf BookletOfAbstracts and is a SuperClassOf ListOfAbstracts and is a SuperClassOf Proceedings and is a SuperClassOf IndexOfAuthors and isProducedBy Chair
MyReview-PCMembersList,PCMembersList is a SubClassOf OutputDocument
MyReview-Paper,Paper is a SubClassOf some paperIsSubmittedBy Author and is a SubClassOf exactly 1 of hasMainTopic and is a SubClassOf Document and is a SubClassOf exactly 1 of hasID and is a SubClassOf exactly 1 of hasAbstract and is a SubClassOf some hasAuthor Author and is a SubClassOf exactly 1 of hasTitle and is a SuperClassOf AcceptedPaper and is a SuperClassOf RejectedPaper and hasAbstract PaperAbstract and hasAuthor Author and hasMainTopic ResearchTopic and hasSecondaryTopic ResearchTopic and hasStatus PaperStatus and isAcceptedBy Chair and isRatedBy Review and isRejectedBy Chair and paperIsAssignedTo Reviewer and paperIsSubmittedBy Author
MyReview-PaperAbstract,PaperAbstract is a SubClassOf some abstractIsSubmittedBy ContactAuthor and is a SubClassOf Document and abstractIsSubmittedBy ContactAuthor and isAbstractOf Paper
MyReview-PaperQuestion,PaperQuestion is a SubClassOf Question
MyReview-PaperStatus,PaperStatus isStatusOf Paper
MyReview-PaymentMode,PaymentMode
MyReview-Person,Person is a SubClassOf exactly 1 of hasAffiliation and is a SubClassOf exactly 1 of hasLastName and is a SubClassOf exactly 1 of hasFirstName and is a SubClassOf Thing and is a SuperClassOf Author and is a SuperClassOf ExternalReviewer and is a SuperClassOf ConferenceAttendant and is a SuperClassOf ProgramCommitteeMember
MyReview-Proceedings,Proceedings is a SubClassOf some includes ExternalReviewersList and is a SubClassOf some includes PCMembersList and is a SubClassOf OutputDocument and is a SubClassOf some includes IndexOfAuthors and is a SubClassOf some includes AcceptedPaper and includes AcceptedPaper or ExternalReviewersList or IndexOfAuthors or PCMembersList
MyReview-Program,Program is a SubClassOf OutputDocument
MyReview-ProgramCommittee,ProgramCommittee is a SubClassOf some hasMember Chair and is a SubClassOf some hasMember Administrator and is a SubClassOf Thing and hasMember ProgramCommitteeMember
MyReview-ProgramCommitteeMember,ProgramCommitteeMember is a SubClassOf exactly 1 of hasEmail and is a SubClassOf Person and is a SuperClassOf Administrator and is a SuperClassOf Chair and is a SuperClassOf Reviewer and isMemberOf ProgramCommittee
MyReview-Question,Question is a SuperClassOf ReviewQuestion and is a SuperClassOf PaperQuestion
MyReview-RejectedPaper,RejectedPaper is a SubClassOf Paper and is a SubClassOf some isRejectedBy Chair and is a SubClassOf has value Reject for hasStatus and is a SubClassOf some isRatedBy Review
MyReview-ResearchTopic,ResearchTopic is a SubClassOf some isAssignedBy Administrator and is a SubClassOf Thing
MyReview-Review,Review is a SubClassOf some isWritenBy Reviewer and is a SubClassOf exactly 1 of containsEvaluation and is a SubClassOf Document and is a SubClassOf exactly 1 of rates and containsEvaluation Evaluation and isWritenBy Reviewer and rates Paper
MyReview-ReviewQuestion,ReviewQuestion is a SubClassOf Question
MyReview-Reviewer,Reviewer is a SubClassOf ProgramCommitteeMember and IsAssignedTo Paper and cooperates ExternalReviewer and hasConflictedPaper Paper and hasPreferredPaper Paper and hasPreferredTopic ResearchTopic and writeReview Review
MyReview-Session,Session is a SubClassOf exactly 1 of isAssociatedTo and is a SubClassOf Thing and hasAssignedPaper AcceptedPaper and hasChair Chair and isAssociatedTo Slot
MyReview-Slot,Slot is a SubClassOf Thing and is a SubClassOf exactly 1 of date and is a SubClassOf exactly 1 of endsAt and is a SubClassOf exactly 1 of beginsAt and forms ConferenceProgram and hosts Session
MyReview-Thing,Thing is a SuperClassOf ProgramCommittee and is a SuperClassOf Slot and is a SuperClassOf OutputDocument and is a SuperClassOf Person and is a SuperClassOf Criterion and is a SuperClassOf ResearchTopic and is a SuperClassOf Session and is a SuperClassOf ConferenceProgram and is a SuperClassOf Conference
sigkdd-ACM_SIGKDD,ACM SIGKDD is a SubClassOf some search Sponzor and is a SubClassOf some hold Conference and is a SubClassOf Thing and is a SubClassOf some design Deadline and design Deadline and hold Conference and search Sponzor
sigkdd-Abstract,Abstract is a SubClassOf Document
sigkdd-Author,Author is a SubClassOf Speaker and is a SubClassOf some notification until Deadline Author notification and is a SuperClassOf Author of paper and is a SuperClassOf Author of paper student and notification until Deadline Author notification and obtain Award and submit Paper
sigkdd-Author_of_paper,Author of paper is a SubClassOf Author and is a SubClassOf some award Best Research Paper Award and is a SubClassOf some award Best Applications Paper Award
sigkdd-Author_of_paper_student,Author of paper student is a SubClassOf Author and is a SubClassOf some award Best Student Paper Award
sigkdd-Award,Award is a SuperClassOf Best Student Paper Award and is a SuperClassOf Best Research Paper Award and is a SuperClassOf Best Applications Paper Award
sigkdd-Best_Applications_Paper_Award,Best Applications Paper Award is a SubClassOf Award
sigkdd-Best_Paper_Awards_Committee,Best Paper Awards Committee is a SubClassOf Committee
